Name,Description,Hyperlink
Cats,"Photo, Print, Drawing",https://www.loc.gov/item/2004670356/
[Cat],"Photo, Print, Drawing",https://www.loc.gov/item/2005678556/
[Cats],"Photo, Print, Drawing",https://www.loc.gov/item/2016892680/
[Cats],"Photo, Print, Drawing",https://www.loc.gov/item/2016890324/
[Cat],"Photo, Print, Drawing",https://www.loc.gov/item/2018662113/
[Cat],"Photo, Print, Drawing",https://www.loc.gov/item/2018662115/
Cat,"Photo, Print, Drawing",https://www.loc.gov/item/2003665736/
"Dandie; the tale of a yellow cat,",Book/Printed Material,https://www.loc.gov/item/25009935/
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",Book/Printed Material,https://www.loc.gov/item/agr03000916/
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",Book/Printed Material,https://www.loc.gov/item/10002159/
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",Book/Printed Material,https://www.loc.gov/item/agr16000378/
"Pussy and her language,",Book/Printed Material,https://www.loc.gov/item/04029271/
John B. Moisant,"Photo, Print, Drawing",https://www.loc.gov/item/2004671743/
The nomad of the nine lives,Book/Printed Material,https://www.loc.gov/item/14000113/
Cat show,"Photo, Print, Drawing",https://www.loc.gov/item/2016721953/
The Cat,"Photo, Print, Drawing",https://www.loc.gov/item/90710537/
[A cat],"Photo, Print, Drawing",https://www.loc.gov/item/2010718352/
Domestic cat,"Photo, Print, Drawing",https://www.loc.gov/item/2009630098/
[Two cats],"Photo, Print, Drawing",https://www.loc.gov/item/94509814/
Black cat,"Photo, Print, Drawing",https://www.loc.gov/item/2017658972/
[Domestic cat],"Photo, Print, Drawing",https://www.loc.gov/item/2009630118/
"""Nervous Cats""","Photo, Print, Drawing",https://www.loc.gov/item/2012631796/
Fat cat,"Photo, Print, Drawing",https://www.loc.gov/item/2012633951/
"Poem 061:
        

        
            
                
                    
                    Sister Cat",Poem,https://www.loc.gov/item/poetry-180-061/sister-cat/
"Poem 116:
        

        
            
                
                    
                    Cat Scat",Poem,https://www.loc.gov/item/poetry-180-116/cat-scat/
Nashville Cats!,Blog,https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/
Schrödinger's cat,Book/Printed Material,//lccn.loc.gov/2016218557
"""Cat"" Hat","Photo, Print, Drawing",https://www.loc.gov/item/ncr002272/
Cat song,Notated Music,https://www.loc.gov/item/ihas.100008567/
Cat song,Notated Music,https://www.loc.gov/item/ihas.100009959/
Whose Cat,"Photo, Print, Drawing",https://www.loc.gov/item/musftpphotoprints.200223581/
Cat family,"Photo, Print, Drawing",https://www.loc.gov/item/2003689307/
"""Naughty cat!""","Photo, Print, Drawing",https://www.loc.gov/item/2002710641/
Emmons cat,"Photo, Print, Drawing",https://www.loc.gov/item/2016694116/
Emmons cat,"Photo, Print, Drawing",https://www.loc.gov/item/2016694117/
Emmons cat,"Photo, Print, Drawing",https://www.loc.gov/item/2016694119/
Emmons [cat],"Photo, Print, Drawing",https://www.loc.gov/item/2016694121/
Miscellaneous [cat],"Photo, Print, Drawing",https://www.loc.gov/item/2016712990/
Miscellaneous [cat],"Photo, Print, Drawing",https://www.loc.gov/item/2016712994/
Miscellaneous [cat],"Photo, Print, Drawing",https://www.loc.gov/item/2016712995/
Pussy cats,Notated Music,https://www.loc.gov/item/2016732576/
Calamity cat,"Photo, Print, Drawing",https://www.loc.gov/item/2006691519/
Cat's cradle,"Photo, Print, Drawing",https://www.loc.gov/item/2002719209/
Cat song,Notated Music,https://www.loc.gov/item/2016740302/
The cat,"Photo, Print, Drawing",https://www.loc.gov/item/2002737046/
Witches' cat,"Photo, Print, Drawing",https://www.loc.gov/item/2003664268/
Emmons cat [woman and cat],"Photo, Print, Drawing",https://www.loc.gov/item/2016694120/
"Jeremiah the cat,",Book/Printed Material,https://www.loc.gov/item/39017645/
"Sooty, an aristocratic cat,",Book/Printed Material,https://www.loc.gov/item/35016050/
Cat tales in verse.,Book/Printed Material,https://www.loc.gov/item/01029245/
Yard of cats,"Photo, Print, Drawing",https://www.loc.gov/item/2018757354/
Yard of cats,"Photo, Print, Drawing",https://www.loc.gov/item/2018694858/
The cat - Felis domesticus,"Photo, Print, Drawing",https://www.loc.gov/item/2017660723/
The black cat,"Photo, Print, Drawing",https://www.loc.gov/item/93509663/
[Mother cat and kittens],"Photo, Print, Drawing",https://www.loc.gov/item/2013646722/
Cat and kittens,"Photo, Print, Drawing",https://www.loc.gov/item/2017650796/
"The Black Cat, December","Photo, Print, Drawing",https://www.loc.gov/item/2015647209/
Treatise on Cats.,Book/Printed Material,https://www.loc.gov/item/2021668043/
[Two domestic cats fighting],"Photo, Print, Drawing",https://www.loc.gov/item/2012645546/
[College girl walking cats],"Photo, Print, Drawing",https://www.loc.gov/item/2018757284/
"[Cat, curled up]","Photo, Print, Drawing",https://www.loc.gov/item/2010718354/
Sketches from cat life,"Photo, Print, Drawing",https://www.loc.gov/item/2010718276/
Hon[orable Mr] cat,"Photo, Print, Drawing",https://www.loc.gov/item/2003675444/
Cats posed in pots,Collection,//lccn.loc.gov/2006678567
Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736291/
Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736862/
Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736863/
Cats used in experiments,"Photo, Print, Drawing",https://www.loc.gov/item/2020736864/
"Schermerhorn cat, portrait photograph","Photo, Print, Drawing",https://www.loc.gov/item/2018715869/
Study of a cat,"Photo, Print, Drawing",https://www.loc.gov/item/00652567/
[Black cat in garden],"Photo, Print, Drawing",https://www.loc.gov/item/2005693005/
Clicker training for cats /,Book/Printed Material,//lccn.loc.gov/2001117576
Cats at play,"Photo, Print, Drawing",https://www.loc.gov/item/2016796356/
[Cats at play],"Photo, Print, Drawing",https://www.loc.gov/item/2016796873/
"Cat Island, July 1935","Photo, Print, Drawing",https://www.loc.gov/item/2007660208/
"Cat Island, July 1935","Photo, Print, Drawing",https://www.loc.gov/item/2007660209/
[Cats with cauldron],"Photo, Print, Drawing",https://www.loc.gov/item/2018696753/
[Dressing up the cat],"Photo, Print, Drawing",https://www.loc.gov/item/2010717875/
The diseases of the cat,Book/Printed Material,https://www.loc.gov/item/01027740/
Roger Benfield Cates Collection,personal narrative,https://www.loc.gov/item/afc2001001.76358/
Raymond Louis Cates Collection,personal narrative,https://www.loc.gov/item/afc2001001.86139/
Elwyn R. Cates Collection,personal narrative,https://www.loc.gov/item/afc2001001.32689/
Elliott Cates Collection,personal narrative,https://www.loc.gov/item/afc2001001.90553/
Two little fraid cats,"Photo, Print, Drawing",https://www.loc.gov/item/2003662899/
"Cat, window, Amsterdam, 1975","Photo, Print, Drawing",https://www.loc.gov/item/2020703750/
"Gaston cat, portrait photograph","Photo, Print, Drawing",https://www.loc.gov/item/2018714030/
[Domestic cat nursing kittens],"Photo, Print, Drawing",https://www.loc.gov/item/2008660988/
[Cat on sidewalk],"Photo, Print, Drawing",https://www.loc.gov/item/2021636522/
Robert Vernon Cates Collection,personal narrative,https://www.loc.gov/item/afc2001001.91264/
Wild Cat Blues,PDF,//www.loc.gov/static/programs/national-recording-preservation-board/documents/WildCatBlues.pdf
Rough on cats,"Photo, Print, Drawing",https://www.loc.gov/item/2011647308/
[Cats decorating Christmas tree],"Photo, Print, Drawing",https://www.loc.gov/item/2016817335/
[Cats in the dormitory],"Photo, Print, Drawing",https://www.loc.gov/item/2016817336/
[Two cats facing camera],"Photo, Print, Drawing",https://www.loc.gov/item/2020636311/
Cat-and-rodent game,"Photo, Print, Drawing",https://www.loc.gov/item/2012643867/
While the cat's away,"Photo, Print, Drawing",https://www.loc.gov/item/2012641076/
[ Pinocchio: The Cat. Grey cat suit.],"Photo, Print, Drawing",https://www.loc.gov/item/musihas.200219301/
Mouser Cat's story,Book/Printed Material,https://www.loc.gov/item/06010307/
"Thomas County Cat (Colby, Kan.) 1885-1891",Newspaper,https://www.loc.gov/item/sn85032814/
"Your dog and your cat, how to care for them; a treatise on the care of the dog and cat in the home,",Book/Printed Material,https://www.loc.gov/item/21011035/
Collection of cats,"Photo, Print, Drawing",https://www.loc.gov/item/2003653664/
Evolution of a cat-cher,"Photo, Print, Drawing",https://www.loc.gov/item/2008678854/
