Name,Temperature,Detailed Forecast
This Afternoon,38,"Mostly sunny, with a high near 38. Southwest wind around 25 mph, with gusts as high as 44 mph."
Tonight,34,"Mostly cloudy, with a low around 34. Southwest wind 14 to 21 mph, with gusts as high as 38 mph."
Tuesday,46,"Mostly cloudy, with a high near 46. Southwest wind 9 to 18 mph."
Tuesday Night,34,"Mostly cloudy, with a low around 34. South wind 3 to 7 mph."
Wednesday,50,"A chance of rain and snow showers after 8am. Mostly cloudy, with a high near 50. South wind 6 to 13 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Wednesday Night,43,"Rain showers likely. Cloudy, with a low around 43. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Thursday,53,"Rain showers. Cloudy, with a high near 53. Chance of precipitation is 90%."
Thursday Night,34,"Rain showers likely. Mostly cloudy, with a low around 34. Chance of precipitation is 70%."
Friday,42,"A chance of rain and snow showers. Mostly cloudy, with a high near 42. Chance of precipitation is 30%."
Friday Night,34,"A chance of rain showers before 10pm, then a chance of rain and snow showers. Mostly cloudy, with a low around 34. Chance of precipitation is 50%."
Saturday,43,"A chance of rain and snow showers. Mostly cloudy, with a high near 43. Chance of precipitation is 50%."
Saturday Night,33,"A chance of rain showers before 11pm, then a chance of rain and snow showers. Mostly cloudy, with a low around 33. Chance of precipitation is 50%."
Sunday,46,"A slight chance of rain and snow showers. Partly sunny, with a high near 46."
Sunday Night,35,"A chance of rain showers. Mostly cloudy, with a low around 35. Chance of precipitation is 30%."
